review_no,category,brand,cheese_name,review_title,review_detail,review_views
379,5,39,사베치오 파마산,사토리 ,다맛있어요 늘 구매,20
179,4,39,헤리티지 체다,아직먹기전이요 ,아직먹기전이지만 맛있을듯 합니다,1
653,10,14,에멘탈 치즈,에멘탈치즈 ,가격도 저렴한데 맛있어용! 재구매해요,16
647,10,14,에멘탈 치즈,치즈 ,앙트르몽 에멘탈 치즈,7
596,7,32,덴마크 까망베르 치즈,오 징짜 맛있네예.. ,일단 비주얼부터 너모 예뻐요 ,1
87,0,0,블루치즈 크림치즈,마성의 꼬리함 ,베이글과 함께. 블루치즈 좋아해서 맛있었어요.,13
461,3,28,리코타,최고! ,그냥먹어도 맛있지만,9
832,6,24,110년 전통 고다치즈 3종,재구매 ,한번 시험삼아 사봣는데 맛있더라구여,11
362,5,39,사베치오 파마산,파스타 ,"샐러드, 파스타에 넣으면 고소하고 맛있어요",5
387,5,39,사베치오 파마산,맛나요 ,샐러드에 뿌려먹으면 너무 좋아요,11
417,3,28,리코타,첫 구매 ,콜롬보 리코타치즈는 처음 구매해봤는데...,12
278,1,9,버팔로 모짜렐라,맛있어요 ,가격만 저렴하면 자주 사먹고 싶어요 ㅎ,17
430,3,28,리코타,두부 식감 ,푸글리제 품절이라 이거 시켜 봤거든요. 개인적으로 부드러운 게 좋은데 이건 약간 순두부 식감이에요. 맛도 밍밍하고요.,3
764,2,7,고르곤졸라 피칸테,고르곤졸라 피자 ,또띠아애 고르곤졸라 피자 해먹으려고 샀어요,5
158,4,39,헤리티지 체다,진짜 맛있어요 ,샐러드에 넣기 딱 좋아서 자주 구매해요,22
261,1,9,버팔로 모짜렐라,유통기한이 생각보다 더 짧네영 ,맛있을 것 같아영 ㄱ대돼요,6
